COHORTE,AGE_PRET_BIN,AGE_MOIS,ER_obs,ER_moyen_age,ER_moyen_coh,EAD_sum
2013,60-120,105.0,0.0368,0.1222,0.0911,2918.79
2013,60-120,106.0,0.0321,0.1222,0.0911,23390.43
2013,60-120,106.0,0.0362,0.1222,0.0911,28669.46
2013,60-120,107.0,0.1054,0.1222,0.0911,1423.68
2013,60-120,107.0,0.0581,0.1222,0.0911,10970.67
2013,60-120,107.0,0.307,0.1222,0.0911,18595.16
2013,60-120,108.0,0.2882,0.1222,0.0911,7062.09
2013,60-120,109.0,0.0647,0.1222,0.0911,9853.69
2013,60-120,109.0,0.0371,0.1222,0.0911,14590.15
2013,60-120,110.0,0.0435,0.1222,0.0911,2467.18
2013,60-120,110.0,0.0,0.1222,0.0911,17734.13
2013,60-120,110.0,0.0846,0.1222,0.0911,5757.35
2013,60-120,111.0,0.0393,0.1222,0.0911,13783.58
2013,60-120,112.0,0.0491,0.1222,0.0911,8724.14
2013,60-120,113.0,0.2368,0.1222,0.0911,1550.85
2013,60-120,115.0,0.0991,0.1222,0.0911,6428.24
2013,60-120,117.0,0.6431,0.1222,0.0911,20682.44
2013,60-120,117.0,0.4571,0.1222,0.0911,1335.64
2013,60-120,119.0,0.0663,0.1222,0.0911,1619.02
2013,120+,123.0,0.0662,0.1797,0.0911,8191.48
2013,120+,126.0,0.1383,0.1797,0.0911,2971.84
2014,36-60,50.0,0.0966,0.1198,0.0989,3658.8
2014,36-60,51.0,0.0171,0.1198,0.0989,25788.73
2014,36-60,51.0,0.0163,0.1198,0.0989,88479.94
2014,36-60,51.0,0.6916,0.1198,0.0989,1301.41
2014,36-60,51.0,0.8593,0.1198,0.0989,1396.53
2014,36-60,52.0,0.0173,0.1198,0.0989,47657.09
2014,36-60,53.0,0.0414,0.1198,0.0989,29678.09
2014,36-60,54.0,0.3035,0.1198,0.0989,1647.46
2014,36-60,54.0,0.4483,0.1198,0.0989,2293.86
2014,36-60,54.0,0.1897,0.1198,0.0989,2056.38
2014,36-60,54.0,0.4397,0.1198,0.0989,3411.77
2014,36-60,55.0,0.1549,0.1198,0.0989,8753.04
2014,36-60,55.0,0.0172,0.1198,0.0989,38255.66
2014,36-60,55.0,0.0168,0.1198,0.0989,23450.73
2014,36-60,55.0,0.3837,0.1198,0.0989,1812.05
2014,36-60,55.0,0.0,0.1198,0.0989,5762.44
2014,36-60,56.0,0.0813,0.1198,0.0989,2210.89
2014,36-60,56.0,0.0463,0.1198,0.0989,1854.57
2014,36-60,56.0,0.0171,0.1198,0.0989,28303.33
2014,36-60,56.0,0.1093,0.1198,0.0989,17125.44
2014,36-60,57.0,0.0154,0.1198,0.0989,27225.16
2014,36-60,57.0,0.0175,0.1198,0.0989,37579.51
2014,36-60,57.0,0.0655,0.1198,0.0989,12221.0
2014,36-60,57.0,0.0806,0.1198,0.0989,9943.15
2014,36-60,58.0,0.0174,0.1198,0.0989,27775.2
2014,36-60,58.0,0.1675,0.1198,0.0989,1339.35
2014,36-60,59.0,0.0157,0.1198,0.0989,26732.6
2014,36-60,59.0,0.0182,0.1198,0.0989,29106.94
2014,36-60,59.0,0.3316,0.1198,0.0989,30125.11
2014,36-60,60.0,0.0236,0.1198,0.0989,64800.59
2014,36-60,60.0,0.1108,0.1198,0.0989,8436.41
2014,60-120,61.0,0.0,0.1222,0.0989,1770.0
2014,60-120,61.0,0.0185,0.1222,0.0989,28547.3
2014,60-120,61.0,0.1566,0.1222,0.0989,19155.24
2014,60-120,61.0,0.0205,0.1222,0.0989,86915.2
2014,60-120,61.0,0.017,0.1222,0.0989,10144.78
2014,60-120,61.0,0.1223,0.1222,0.0989,1716.5
2014,60-120,62.0,0.0175,0.1222,0.0989,52136.2
2014,60-120,62.0,0.0179,0.1222,0.0989,21979.8
2014,60-120,62.0,0.0,0.1222,0.0989,5543.21
2014,60-120,62.0,0.1263,0.1222,0.0989,7371.69
2014,60-120,62.0,0.0507,0.1222,0.0989,39471.91
2014,60-120,62.0,0.1088,0.1222,0.0989,3951.9
2014,60-120,63.0,0.5597,0.1222,0.0989,1429.34
2014,60-120,64.0,0.0629,0.1222,0.0989,3491.3
2014,60-120,65.0,0.0171,0.1222,0.0989,17255.54
2014,60-120,65.0,0.5548,0.1222,0.0989,4650.02
2014,60-120,65.0,0.236,0.1222,0.0989,4237.24
2014,60-120,65.0,0.126,0.1222,0.0989,7933.65
2014,60-120,66.0,0.5155,0.1222,0.0989,5819.43
2014,60-120,66.0,0.0295,0.1222,0.0989,3389.33
2014,60-120,66.0,0.7593,0.1222,0.0989,1297.6
2014,60-120,67.0,0.4949,0.1222,0.0989,10103.35
2014,60-120,67.0,0.0539,0.1222,0.0989,1854.96
2014,60-120,67.0,0.9823,0.1222,0.0989,1044.45
2014,60-120,67.0,0.031,0.1222,0.0989,61052.31
2014,60-120,68.0,0.0,0.1222,0.0989,1577.4
2014,60-120,69.0,0.0245,0.1222,0.0989,28287.01
2014,60-120,69.0,0.2488,0.1222,0.0989,8038.81
2014,60-120,69.0,0.4402,0.1222,0.0989,21920.89
2014,60-120,70.0,0.0227,0.1222,0.0989,52921.68
2014,60-120,71.0,0.0178,0.1222,0.0989,23640.67
2014,60-120,71.0,0.0206,0.1222,0.0989,25657.35
2014,60-120,71.0,0.0591,0.1222,0.0989,17766.69
2014,60-120,71.0,0.5432,0.1222,0.0989,2393.04
2014,60-120,71.0,0.0,0.1222,0.0989,7659.34
2014,60-120,71.0,0.0,0.1222,0.0989,14612.61
2014,60-120,72.0,0.0,0.1222,0.0989,5159.5
2014,60-120,72.0,0.8828,0.1222,0.0989,6909.7
2014,60-120,72.0,0.0,0.1222,0.0989,3755.65
2014,60-120,72.0,0.0169,0.1222,0.0989,61128.22
2014,60-120,72.0,0.8627,0.1222,0.0989,3477.6
2014,60-120,73.0,0.0211,0.1222,0.0989,25057.49
2014,60-120,74.0,0.0392,0.1222,0.0989,25872.0
2014,60-120,74.0,0.0418,0.1222,0.0989,12537.29
2014,60-120,75.0,0.0195,0.1222,0.0989,15174.26
2014,60-120,75.0,0.2509,0.1222,0.0989,3985.72
2014,60-120,75.0,0.022,0.1222,0.0989,31095.52
2014,60-120,76.0,0.0202,0.1222,0.0989,45284.77
2014,60-120,76.0,0.0209,0.1222,0.0989,58693.85
2014,60-120,77.0,0.534,0.1222,0.0989,18706.86
2014,60-120,78.0,0.2492,0.1222,0.0989,2295.46
2014,60-120,78.0,0.0183,0.1222,0.0989,56665.44
2014,60-120,79.0,0.0194,0.1222,0.0989,21640.02
2014,60-120,79.0,0.0228,0.1222,0.0989,23212.57
2014,60-120,79.0,0.4016,0.1222,0.0989,1039.94
2014,60-120,79.0,0.6043,0.1222,0.0989,1654.75
2014,60-120,81.0,0.0234,0.1222,0.0989,22582.15
2014,60-120,81.0,0.0598,0.1222,0.0989,1687.06
2014,60-120,81.0,0.1884,0.1222,0.0989,10614.93
2014,60-120,83.0,0.7068,0.1222,0.0989,70173.86
2014,60-120,85.0,0.0,0.1222,0.0989,16732.37
2014,60-120,86.0,0.0233,0.1222,0.0989,39203.01
2014,60-120,86.0,0.2302,0.1222,0.0989,25599.76
2014,60-120,86.0,0.0203,0.1222,0.0989,4736.82
2014,60-120,87.0,0.0923,0.1222,0.0989,6614.2
2014,60-120,87.0,0.0811,0.1222,0.0989,13511.5
2014,60-120,87.0,0.0269,0.1222,0.0989,27296.67
2014,60-120,88.0,0.024,0.1222,0.0989,38027.61
2014,60-120,88.0,0.3342,0.1222,0.0989,23938.82
2014,60-120,89.0,0.0244,0.1222,0.0989,37442.43
2014,60-120,89.0,0.4831,0.1222,0.0989,11231.01
2014,60-120,90.0,0.0266,0.1222,0.0989,28866.79
2014,60-120,90.0,0.0193,0.1222,0.0989,46091.39
2014,60-120,93.0,0.167,0.1222,0.0989,4789.18
2014,60-120,93.0,0.5391,0.1222,0.0989,1854.83
2014,60-120,93.0,0.7919,0.1222,0.0989,3788.59
2014,60-120,93.0,0.0873,0.1222,0.0989,30743.99
2014,60-120,95.0,0.0256,0.1222,0.0989,6734.76
2014,60-120,96.0,0.1958,0.1222,0.0989,1532.36
2014,60-120,98.0,0.201,0.1222,0.0989,9950.08
2014,60-120,99.0,0.3904,0.1222,0.0989,38417.47
2014,60-120,100.0,0.0309,0.1222,0.0989,12728.26
2014,60-120,100.0,0.0223,0.1222,0.0989,39896.71
2014,60-120,102.0,0.0323,0.1222,0.0989,12175.57
2014,60-120,103.0,0.035,0.1222,0.0989,15105.26
2014,60-120,103.0,0.63,0.1222,0.0989,12698.26
2014,60-120,103.0,0.093,0.1222,0.0989,10753.82
2014,60-120,105.0,0.0377,0.1222,0.0989,18125.89
2014,60-120,106.0,0.037,0.1222,0.0989,7972.65
2014,60-120,106.0,0.227,0.1222,0.0989,8431.4
2014,60-120,109.0,0.2804,0.1222,0.0989,7131.87
2014,60-120,110.0,0.3962,0.1222,0.0989,5047.67
2014,60-120,110.0,0.1259,0.1222,0.0989,4789.18
2014,60-120,113.0,0.0505,0.1222,0.0989,13523.16
2015,36-60,37.0,0.2429,0.1198,0.0761,2018.64
2015,36-60,37.0,0.0237,0.1198,0.0761,10664.93
2015,36-60,37.0,0.1548,0.1198,0.0761,3533.63
2015,36-60,38.0,0.2719,0.1198,0.0761,7354.75
2015,36-60,39.0,0.0241,0.1198,0.0761,14836.25
2015,36-60,39.0,0.0152,0.1198,0.0761,61992.23
2015,36-60,40.0,0.0144,0.1198,0.0761,37816.18
2015,36-60,40.0,0.3003,0.1198,0.0761,9589.6
2015,36-60,40.0,0.0412,0.1198,0.0761,5119.0
2015,36-60,41.0,0.0,0.1198,0.0761,2726.21
2015,36-60,41.0,0.0673,0.1198,0.0761,2439.6
2015,36-60,42.0,0.171,0.1198,0.0761,5157.6
2015,36-60,42.0,0.8106,0.1198,0.0761,3084.04
2015,36-60,43.0,0.0255,0.1198,0.0761,42967.81
2015,36-60,43.0,0.0597,0.1198,0.0761,7205.19
2015,36-60,43.0,0.075,0.1198,0.0761,28976.08
2015,36-60,44.0,0.849,0.1198,0.0761,3109.86
2015,36-60,44.0,0.1479,0.1198,0.0761,6762.81
2015,36-60,44.0,0.0504,0.1198,0.0761,2401.38
2015,36-60,44.0,0.1055,0.1198,0.0761,2844.74
2015,36-60,44.0,0.0982,0.1198,0.0761,2037.35
2015,36-60,44.0,0.0485,0.1198,0.0761,6190.51
2015,36-60,45.0,0.2992,0.1198,0.0761,2673.74
2015,36-60,45.0,0.0472,0.1198,0.0761,96846.65
2015,36-60,45.0,0.0135,0.1198,0.0761,57884.43
2015,36-60,45.0,0.1192,0.1198,0.0761,8565.6
2015,36-60,45.0,0.9343,0.1198,0.0761,14011.1
2015,36-60,45.0,0.7886,0.1198,0.0761,3804.15
2015,36-60,46.0,0.0,0.1198,0.0761,1882.51
2015,36-60,46.0,0.0816,0.1198,0.0761,1076.83
2015,36-60,46.0,0.052,0.1198,0.0761,13861.27
2015,36-60,46.0,0.7066,0.1198,0.0761,1415.31
2015,36-60,46.0,0.1484,0.1198,0.0761,7741.22
2015,36-60,46.0,0.0439,0.1198,0.0761,2275.97
2015,36-60,46.0,0.1615,0.1198,0.0761,12381.64
2015,36-60,46.0,0.204,0.1198,0.0761,48776.68
2015,36-60,47.0,0.2161,0.1198,0.0761,1549.41
2015,36-60,47.0,0.1057,0.1198,0.0761,2118.84
2015,36-60,47.0,0.0191,0.1198,0.0761,10481.36
2015,36-60,47.0,0.0,0.1198,0.0761,7588.44
2015,36-60,47.0,0.0158,0.1198,0.0761,75719.19
2015,36-60,47.0,0.2924,0.1198,0.0761,17099.22
2015,36-60,47.0,0.0294,0.1198,0.0761,22910.38
2015,36-60,47.0,0.0201,0.1198,0.0761,37903.93
2015,36-60,48.0,0.0,0.1198,0.0761,2419.0
2015,36-60,48.0,0.2411,0.1198,0.0761,30461.64
2015,36-60,48.0,0.2325,0.1198,0.0761,43817.42
2015,36-60,48.0,0.0217,0.1198,0.0761,9208.98
2015,36-60,48.0,0.0487,0.1198,0.0761,5661.14
2015,36-60,48.0,0.014,0.1198,0.0761,48427.42
2015,36-60,48.0,0.869,0.1198,0.0761,1323.38
2015,36-60,48.0,0.1265,0.1198,0.0761,5534.06
2015,36-60,49.0,0.5822,0.1198,0.0761,3435.38
