COHORTE,AGE_PRET_BIN,AGE_MOIS,ER_obs,ER_pred,RA_sum,EAD_sum
2010,60-120,119.0,0.1807088757423182,0.3408264694202442,4000.0,22135.05
2010,120+,127.0,0.42660036078201935,0.34001468309849675,700.0,1640.88
2010,120+,145.0,0.0,0.34462948183495207,0.0,4392.16
2011,60-120,91.0,0.13239421702060053,0.3408264694202442,1000.0,7553.2
2011,60-120,91.0,0.16965049106066676,0.3374230998987695,978.22,5766.09
2011,60-120,91.0,0.05012033438501901,0.3408264694202442,589.36,11758.9
2011,60-120,94.0,0.0,0.3408264694202442,0.0,12169.32
2011,60-120,95.0,0.7690754631164287,0.34001468309849675,9976.37,12971.9
2011,60-120,95.0,0.02666640438937047,0.3374230998987695,555.81,20843.08
2011,60-120,95.0,0.13725093244852232,0.3483177760588111,800.0,5828.74
2011,60-120,95.0,0.2875077866692223,0.3266011519868284,300.0,1043.45
2011,60-120,96.0,0.7372347797879713,0.3408264694202442,2500.0,3391.05
2011,60-120,97.0,0.17508504756185317,0.3408264694202442,1000.0,5711.51
2011,60-120,97.0,0.02541342487753623,0.3408264694202442,615.55,24221.45
2011,60-120,98.0,0.9890185968463494,0.3408264694202442,3000.0,3033.31
2011,60-120,99.0,0.026469121150356472,0.3408264694202442,615.55,23255.4
2011,60-120,100.0,0.02893279923385948,0.3408264694202442,200.0,6912.57
2011,60-120,101.0,0.03016756865603674,0.3374230998987695,555.81,18424.09
2011,60-120,101.0,0.10199200945360418,0.3408264694202442,290.0,2843.36
2011,60-120,102.0,0.5180224542052394,0.33550882614845157,21303.0,41123.7
2011,60-120,105.0,0.21118476766507788,0.3491920599261233,1000.0,4735.19
2011,60-120,105.0,0.07811467517510903,0.3408264694202442,165.5,2118.68
2011,60-120,107.0,0.03492148462018385,0.3374230998987695,555.81,15915.99
2011,60-120,107.0,0.46208670964689186,0.34462948183495207,5000.0,10820.48
2011,60-120,110.0,0.43028889596475073,0.3408264694202442,500.0,1162.01
2011,60-120,111.0,0.035722866464785515,0.3408264694202442,615.55,17231.26
2011,60-120,111.0,0.0,0.3483177760588111,0.0,11971.64
2011,60-120,112.0,0.031926669149115246,0.34462948183495207,187.77,5881.29
2011,60-120,114.0,0.3168969451134491,0.33550882614845157,4000.0,12622.4
2011,60-120,114.0,0.08902901576103497,0.34462948183495207,412.40999999999997,4632.31
2011,60-120,116.0,0.062318316102190026,0.3408264694202442,263.47,4227.81
2011,120+,124.0,0.7925507276496292,0.3408264694202442,4500.0,5677.87
2011,120+,125.0,0.06356636698411125,0.3408264694202442,615.55,9683.58
2011,120+,127.0,0.07193256767305652,0.3408264694202442,615.55,8557.32
2011,120+,128.0,0.0,0.3408264694202442,0.0,16307.56
2011,120+,141.0,0.08463430363741309,0.3374230998987695,500.0,5907.77
2011,120+,142.0,0.0,0.3266011519868284,0.0,1465.3900000000003
2011,120+,143.0,0.12753816898552314,0.3408264694202442,1000.0,7840.79
2012,60-120,75.0,0.3677308798329031,0.3408264694202442,2000.0,5438.76
2012,60-120,75.0,0.053767122505951934,0.34462948183495207,235.55,4380.93
2012,60-120,76.0,0.0,0.3266011519868284,0.0,11306.77
2012,60-120,78.0,0.02349146657178263,0.3408264694202442,459.51,19560.72
2012,60-120,79.0,0.027025639223931745,0.3266011519868284,100.0,3700.19
2012,60-120,80.0,0.023240858492435755,0.34462948183495207,450.3,19375.36
2012,60-120,80.0,0.0,0.3408264694202442,0.0,5911.47
2012,60-120,81.0,0.6527095605632883,0.3408264694202442,6000.0,9192.45
2012,60-120,81.0,0.398393386169701,0.3408264694202442,629.35,1579.72
2012,60-120,82.0,0.023914919606463348,0.34462948183495207,450.3,18829.25
2012,60-120,82.0,0.6189540759286438,0.3408264694202442,8000.0,12925.03
2012,60-120,83.0,0.19210585628262383,0.3408264694202442,963.14,5013.59
2012,60-120,83.0,0.7926411198433742,0.3408264694202442,2000.0,2523.21
2012,60-120,83.0,0.06544909733691391,0.35746257880495513,149.4,2282.69
2012,60-120,84.0,0.3063815602419679,0.3374230998987695,10000.0,32639.04
2012,60-120,84.0,0.8242066187088309,0.3408264694202442,2500.0,3033.22
2012,60-120,85.0,0.15216585393674964,0.33656373238391507,213.44,1402.68
2012,60-120,86.0,0.038576782071972626,0.33550882614845157,521.81,13526.53
2012,60-120,86.0,0.0,0.3483177760588111,0.0,13344.63
2012,60-120,86.0,0.03127218370531596,0.3266011519868284,100.0,3197.73
2012,60-120,86.0,0.023803285054368604,0.33656373238391507,277.07,11639.99
2012,60-120,87.0,0.3086610284585468,0.3408264694202442,1000.0,3239.8
2012,60-120,87.0,0.9425835630734586,0.3408264694202442,40300.0,42754.83
2012,60-120,88.0,0.6972803741141633,0.3374230998987695,3000.0,4302.43
2012,60-120,88.0,0.011499249099033835,0.3266011519868284,100.0,8696.22
2012,60-120,88.0,0.32003780211530986,0.3408264694202442,1909.96,5967.92
2012,60-120,89.0,0.0,0.3408264694202442,0.0,1268.71
2012,60-120,90.0,0.9346095738600917,0.34001468309849675,20000.0,21399.31
2012,60-120,90.0,0.9940012027414553,0.3374230998987695,2000.0,2012.07
2012,60-120,91.0,0.05186819436228525,0.3374230998987695,408.6,7877.66
2012,60-120,91.0,0.4946760490223965,0.3408264694202442,1200.0,2425.83
2012,60-120,92.0,0.08913609186741736,0.3408264694202442,766.59,8600.22
2012,60-120,92.0,0.0489303366784219,0.3408264694202442,675.84,13812.29
2012,60-120,93.0,0.0,0.3408264694202442,0.0,4389.93
2012,60-120,93.0,0.03751064364513431,0.3266011519868284,100.0,2665.91
2012,60-120,94.0,0.10321247290401626,0.3408264694202442,766.59,7427.3
2012,60-120,94.0,0.0,0.3408264694202442,0.0,7969.26
2012,60-120,94.0,0.11424198310736217,0.34462948183495207,1526.37,13360.85
2012,60-120,95.0,0.42385273660519385,0.3266011519868284,2000.0,4718.620000000001
2012,60-120,96.0,0.122835803915222,0.3408264694202442,766.59,6240.77
2012,60-120,96.0,0.07020196379942786,0.3408264694202442,408.6,5820.35
2012,60-120,96.0,0.20408529631246214,0.34462948183495207,1159.58,5681.84
2012,60-120,98.0,0.04411913932383007,0.35746257880495513,100.0,2266.59
2012,60-120,99.0,0.0386246355081729,0.3408264694202442,587.86,15219.82
2012,60-120,101.0,0.4604761784161001,0.3408264694202442,2000.0,4343.33
2012,60-120,101.0,0.04952897940585036,0.35746257880495513,100.0,2019.02
2012,60-120,101.0,0.39902319122787416,0.3408264694202442,5000.0,12530.6
2012,60-120,102.0,0.05167611478298615,0.35746257880495513,100.0,1935.13
2012,60-120,102.0,0.30048385237720376,0.3408264694202442,3675.84,12233.07
2012,60-120,103.0,0.061458374317890856,0.3483177760588111,1015.32,16520.45
2012,60-120,103.0,0.13143732678114076,0.3408264694202442,9999.0,76074.28
2012,60-120,104.0,0.4295877103547822,0.3374230998987695,1500.0,3491.72
2012,60-120,106.0,0.17434492646023478,0.3408264694202442,408.6,2343.63
2012,60-120,106.0,0.14194916390365248,0.3408264694202442,9000.0,63402.98
2012,60-120,107.0,0.0,0.3408264694202442,0.0,2580.78
2012,60-120,108.0,0.03620476527729503,0.33656373238391507,277.07,7652.86
2012,60-120,110.0,0.0,0.3374230998987695,0.0,6011.11
2012,60-120,110.0,0.038159601808060245,0.33656373238391507,277.07,7260.82
2012,60-120,111.0,0.743484031598666,0.3491920599261233,25000.0,33625.47
2012,60-120,113.0,0.5683287440787249,0.3408264694202442,2000.0,3519.09
2012,60-120,115.0,0.6128872448642579,0.3483177760588111,742.28,1211.12
2012,60-120,119.0,0.19129969009450204,0.34462948183495207,200.0,1045.48
2012,120+,121.0,0.0,0.3408264694202442,0.0,6668.25
2012,120+,124.0,0.45071573658970443,0.33550882614845157,1500.0,3328.04
2012,120+,124.0,0.5342400149587204,0.3408264694202442,2800.0,5241.09
2012,120+,125.0,0.28471480118365433,0.34462948183495207,1500.0,5268.43
2012,120+,126.0,0.0,0.33550882614845157,0.0,6924.12
2012,120+,126.0,0.5403302498487075,0.34462948183495207,5000.0,9253.6
2012,120+,127.0,0.9668125479377888,0.3408264694202442,3000.0,3102.98
2012,120+,132.0,0.3089786094108705,0.3408264694202442,1000.0,3236.47
2012,120+,135.0,0.1265116028007982,0.3374230998987695,1500.0,11856.62
2013,60-120,63.0,0.0,0.33550882614845157,0.0,3361.68
2013,60-120,65.0,0.02090590683477526,0.3408264694202442,529.44,25324.9
2013,60-120,66.0,0.99454327257779,0.35199211733057206,15000.0,15082.3
2013,60-120,66.0,0.017836601685145746,0.3408264694202442,428.74,24037.09
2013,60-120,66.0,0.930769373964519,0.33550882614845157,1000.0,1074.38
2013,60-120,66.0,0.0,0.3408264694202442,0.0,2386.21
2013,60-120,66.0,0.2912604392595771,0.3266011519868284,3000.0,10300.06
2013,60-120,67.0,0.017025191168585026,0.33656373238391507,491.18,28850.19
2013,60-120,68.0,0.0457269291048216,0.3408264694202442,535.68,11714.76
2013,60-120,68.0,0.3428187194453171,0.3408264694202442,3110.0,9071.85
