Age,Hazard_brut,Nb_RA,Nb_at_risk,SE,Hazard_lisse,Survie,ER_cumule,SMM,CPR,SMM_PSA,CPR_PSA,Survie_PSA,ER_PSA
18,0.9936530324400564,1409,1418,0.002108931166452665,0.9881850852855253,1.524224254222525e-38,1.0,0.9881850852855253,1.0,0.003050669254042293,0.036000000000000004,0.9715542737832581,0.028445726216741907
19,0.9869952087611226,1442,1461,0.002964040317870544,0.9882873915164525,1.7852641930835596e-40,1.0,0.9882873915164525,1.0,0.003223196672329065,0.038,0.9684227632810128,0.031577236718987156
20,0.9859550561797753,1404,1424,0.003118412537000348,0.9884066325342742,2.0697223813820185e-42,1.0,0.9884066325342742,1.0,0.003396053198917559,0.04,0.9651339480578678,0.034866051942132215
21,0.9917106254709872,1316,1327,0.0024889599185623514,0.9885386642412991,2.3721783140317303e-44,1.0,0.9885386642412991,1.0,0.0035692401492131154,0.042,0.961689153221091,0.03831084677890895
22,0.9862815884476535,1366,1385,0.0031255574794387966,0.988679342539836,2.6854618127582508e-46,1.0,0.988679342539836,1.0,0.0037427588466381057,0.044,0.9580897826351569,0.04191021736484313
23,0.9834212509419744,1305,1327,0.003505179087484735,0.9888245233321933,3.0011315830765763e-48,1.0,0.9888245233321933,1.0,0.003916610622698213,0.046,0.9543373180149894,0.045662681985010556
24,0.985725614591594,1243,1261,0.0033404054763940625,0.98897006252068,3.3102293728547346e-50,1.0,0.98897006252068,1.0,0.004090796817048492,0.048,0.9504333179520631,0.049566682047936905
25,0.9838579499596449,1219,1239,0.00358022145721287,0.989111816007604,3.6042386468675954e-52,1.0,0.989111816007604,1.0,0.004265318777560645,0.05,0.9463794168741829,0.05362058312581708
26,0.9934102141680395,1206,1214,0.0023221518585660244,0.9892456396952745,3.8761281032630563e-54,1.0,0.9892456396952745,1.0,0.004440177860390748,0.052000000000000005,0.9421773239398487,0.057822676060151346
27,0.9942528735632183,1211,1218,0.0021659586391147337,0.9893673894859997,4.121336042436693e-56,1.0,0.9893673894859997,1.0,0.004615375430047641,0.054,0.9378288218681886,0.06217117813181139
28,0.9897172236503856,1155,1167,0.002953080807477366,0.9894729212820884,4.3385628941697274e-58,1.0,0.9894729212820884,1.0,0.004790912859462759,0.056,0.9333357657055255,0.06666423429447454
