ID;AGE_CLI;B_MAT;B_RESMAT;CLASSACT;CSP;DARRET;E_OFF;MREVTOT;MTECH;NBIMP;NB_ECH;produit;RA;Tx;EAD;AGE_PRET;HORIZON_RES;CSP_grp;CRD;ER_obs;FLAG_ER;Capital_initial;Date_origination;Cohorte
a000159;58.0;36.0;33.0;1;52.0;2019-01-01;0.0;3392.0;93.49;0;36;AMO;3178.66;2.060982048302028;0.0;3.0;33;SALARIE;3085.1699999999996;1.0;1;3365.64;2018-10-03;2018Q4
a000160;40.0;13.0;9.0;1;52.0;2019-01-01;0.0;1390.0;260.36;0;12;AMO;2520.53;2.060982048302028;0.0;4.0;9;SALARIE;2343.2400000000002;1.0;1;3384.6800000000003;2018-09-03;2018Q3
a000161;41.0;30.0;26.0;1;54.0;2019-01-01;0.0;2800.0;108.63;0;30;AMO;2631.73;2.1537908697244683;0.0;4.0;26;SALARIE;2824.38;0.9317903398267938;1;3258.8999999999996;2018-09-03;2018Q3
a000162;71.0;60.0;57.0;1;70.0;2019-01-01;0.0;1940.0;177.31;0;60;AMO;9548.2;1.891288029753845;0.0;3.0;57;SALARIE;10106.67;0.9447424324728125;1;10638.6;2018-10-03;2018Q4
a000163;76.0;48.0;1.0;1;70.0;2019-01-01;0.0;2974.0;471.53;0;4;AMO;23420.84;2.1806073626269216;0.0;47.0;1;SALARIE;471.53;1.0;1;22633.44;2015-02-21;2015Q1
a000164;44.0;60.0;58.0;1;45.0;2019-01-01;0.0;2526.0;63.65;0;60;AMO;100.0;2.2593654994071057;3019.84;2.0;58;SALARIE;3691.7;0.027087791532356367;1;3819.0;2018-11-02;2018Q4
a000171;27.0;61.0;1.0;1;60.0;2019-01-01;0.0;1454.0;108.88;0;54;AMO;735.85;2.309559509152804;0.28;60.0;1;INACTIF;108.88;1.0;1;6641.679999999999;2014-01-27;2014Q1
a000172;70.0;61.0;11.0;1;31.0;2019-01-01;0.0;7002.0;432.17;0;60;AMO;4353.39;2.2112163336215405;0.0;50.0;11;SALARIE;4753.87;0.9157570568820772;1;26362.370000000003;2014-11-23;2014Q4
a000173;73.0;73.0;7.0;1;70.0;2019-01-01;0.0;2263.0;180.01;0;57;AMO;2000.0;2.283116881983217;722.43;66.0;7;SALARIE;1260.07;1.0;1;13140.73;2013-07-31;2013Q3
a000174;38.0;74.0;30.0;1;55.0;2019-01-01;0.0;837.0;93.19;0;72;AMO;121.0;2.1774243847759185;2401.38;44.0;30;SALARIE;2795.7;0.043280752584325934;1;6896.0599999999995;2015-05-22;2015Q2
