ID,AGE_CLI,B_MAT,B_RESMAT,CLASSACT,CSP,DARRET,E_OFF,MREVTOT,MTECH,NBIMP,NB_ECH,produit,RA,Tx,EAD,AGE_PRET,HORIZON_RES,CF_CAP_OBS,ER_obs,FLAG_ER,EAD_POST,Tx_bin,B_RESMAT_bin,AGE_PRET_BIN
a000558,51.0,49.0,24.0,1,46.0,2019-01-01,0.0,2500.0,196.4,0,48,AMO,623.23,2.2234554340212265,4475.65,25.0,24,623.23,0.13924904762436743,1,3852.4199999999996,"(2.181, 2.256]","(-0.276, 27.6]",12-36
a000572,42.0,61.0,39.0,1,55.0,2019-01-01,0.0,1462.0,357.88,0,60,AMO,777.28,2.255874623152854,11191.48,22.0,39,777.28,0.06945283376282672,1,10414.199999999999,"(2.256, 2.786]","(27.6, 55.2]",12-36
a000573,23.0,61.0,39.0,1,56.0,2019-01-01,0.0,1216.0,102.7,0,60,AMO,700.0,2.1222138806243365,3364.82,22.0,39,700.0,0.2080349023127537,1,2664.82,"(2.094, 2.181]","(27.6, 55.2]",12-36
a000577,75.0,61.0,44.0,1,56.0,2019-01-01,0.0,2380.0,239.78,0,60,AMO,520.65,2.245074600882508,8876.97,17.0,44,520.65,0.05865176969168534,1,8356.32,"(2.181, 2.256]","(27.6, 55.2]",12-36
a000590,34.0,25.0,2.0,1,55.0,2019-01-01,0.0,1169.0,12.76,0,19,AMO,0.0,2.462369248950607,7.98,23.0,2,0.0,0.0,0,7.98,"(2.256, 2.786]","(-0.276, 27.6]",12-36
a000594,40.0,61.0,15.0,1,23.0,2019-01-01,0.0,4677.0,144.33,0,32,AMO,0.0,2.1222138806243365,1882.51,46.0,15,0.0,0.0,0,1882.51,"(2.094, 2.181]","(-0.276, 27.6]",36-60
a000599,44.0,73.0,1.0,1,31.0,2019-01-01,0.0,9908.0,124.18,0,18,AMO,-3226.9300000000003,2.1637006235176,0.3,72.0,1,-3226.9300000000003,0.0,0,3227.2300000000005,"(2.094, 2.181]","(-0.276, 27.6]",60-120
a000614,43.0,62.0,49.0,1,21.0,2019-01-01,0.0,1825.0,262.39,0,60,AMO,286.0,2.1503072711056124,11043.93,13.0,49,286.0,0.02589657848247861,1,10757.93,"(2.094, 2.181]","(27.6, 55.2]",12-36
a000615,54.0,61.0,46.0,1,60.0,2019-01-01,0.0,1223.0,239.39,0,60,AMO,4000.0,2.0976950855193204,8154.63,15.0,46,4000.0,0.490518883137555,1,4154.63,"(2.094, 2.181]","(27.6, 55.2]",12-36
a000633,33.0,38.0,4.0,1,48.0,2019-01-01,0.0,2221.0,520.08,0,16,AMO,1000.0,2.056664109465019,1366.02,34.0,4,1000.0,0.7320537034596858,1,366.02,"(-1.501, 2.094]","(-0.276, 27.6]",12-36
a000636,32.0,63.0,50.0,1,47.0,2019-01-01,0.0,3067.0,165.51,0,62,AMO,2000.0,2.1757781459455376,7353.97,13.0,50,2000.0,0.27196194708436394,1,5353.97,"(2.094, 2.181]","(27.6, 55.2]",12-36
a000639,25.0,25.0,12.0,1,48.0,2019-01-01,0.0,1900.0,199.25,0,24,AMO,1000.0,2.0118833609788744,2153.75,13.0,12,1000.0,0.4643064422518862,1,1153.75,"(-1.501, 2.094]","(-0.276, 27.6]",12-36
a000643,44.0,26.0,14.0,1,52.0,2019-01-01,0.0,1900.0,123.24,0,24,AMO,271.62,2.5625818121032484,1488.72,12.0,14,271.62,0.18245203933580526,1,1217.1,"(2.256, 2.786]","(-0.276, 27.6]",0-12
a000646,46.0,60.0,48.0,1,56.0,2019-01-01,0.0,2204.0,111.54,0,59,AMO,0.0,2.0831987653174373,4964.62,12.0,48,0.0,0.0,0,4964.62,"(-1.501, 2.094]","(27.6, 55.2]",0-12
a000647,47.0,73.0,62.0,1,60.0,2019-01-01,0.0,1324.0,135.87,0,72,AMO,500.0,2.1314436451475864,6763.61,11.0,62,500.0,0.07392501933139256,1,6263.61,"(2.094, 2.181]","(55.2, 82.8]",0-12
a000648,64.0,61.0,52.0,1,70.0,2019-01-01,0.0,975.0,77.12,0,60,AMO,3000.0,2.1551381122675153,3099.91,9.0,52,3000.0,0.9677700320331881,1,99.90999999999985,"(2.094, 2.181]","(27.6, 55.2]",0-12
a000657,56.0,73.0,66.0,1,48.0,2019-01-01,0.0,2000.0,60.92,0,72,AMO,2800.0,2.1314436451475864,2947.38,7.0,66,2800.0,0.9499962678718048,1,147.3800000000001,"(2.094, 2.181]","(55.2, 82.8]",0-12
a000662,31.0,61.0,51.0,1,52.0,2019-01-01,0.0,1484.0,83.68,0,60,AMO,1000.0,2.1127836950902448,3559.83,10.0,51,1000.0,0.28091229075545743,1,2559.83,"(2.094, 2.181]","(27.6, 55.2]",0-12
a000665,48.0,61.0,53.0,1,56.0,2019-01-01,0.0,1289.0,114.39,0,60,AMO,1218.0,2.1937268281923124,4839.24,8.0,53,1218.0,0.2516924145113696,1,3621.24,"(2.181, 2.256]","(27.6, 55.2]",0-12
a000666,25.0,72.0,64.0,1,46.0,2019-01-01,0.0,1556.0,210.19,0,71,AMO,4200.0,2.1127836950902448,10466.06,8.0,64,4200.0,0.40129714524854626,1,6266.0599999999995,"(2.094, 2.181]","(55.2, 82.8]",0-12
a000667,33.0,73.0,66.0,1,60.0,2019-01-01,0.0,1517.0,187.43,0,72,AMO,1336.0,2.0854605573835863,9205.2,7.0,66,1336.0,0.14513535827575716,1,7869.200000000001,"(-1.501, 2.094]","(55.2, 82.8]",0-12
a000669,50.0,37.0,29.0,1,52.0,2019-01-01,0.0,2180.0,108.79,0,36,AMO,1500.0,2.032754359559043,2860.32,8.0,29,1500.0,0.5244168484645074,1,1360.3200000000002,"(-1.501, 2.094]","(27.6, 55.2]",0-12
a000672,46.0,62.0,2.0,1,54.0,2019-01-01,0.0,2700.0,22.73,0,8,AMO,0.0,2.1127836950902448,9.36,60.0,2,0.0,0.0,0,9.36,"(2.094, 2.181]","(-0.276, 27.6]",36-60
a000674,34.0,48.0,12.0,1,43.0,2019-01-01,0.0,2272.0,139.25,0,19,AMO,1000.0,2.0831987653174373,1585.19,36.0,12,1000.0,0.6308392053949369,1,585.19,"(-1.501, 2.094]","(-0.276, 27.6]",12-36
a000677,75.0,73.0,66.0,1,70.0,2019-01-01,0.0,1406.0,60.92,0,72,AMO,2800.0,2.1314436451475864,2945.56,7.0,66,2800.0,0.9505832507231223,1,145.55999999999995,"(2.094, 2.181]","(55.2, 82.8]",0-12
a000687,20.0,50.0,46.0,1,87.0,2019-01-01,0.0,0.0,187.78,0,48,AMO,211.95,2.180153978417022,7085.06,4.0,46,211.95,0.02991506070520221,1,6873.110000000001,"(2.094, 2.181]","(27.6, 55.2]",0-12
a000696,65.0,72.0,69.0,1,70.0,2019-01-01,0.0,6349.0,619.29,0,71,AMO,9500.0,2.064665847571668,34463.56,3.0,69,9500.0,0.2756534728275315,1,24963.559999999998,"(-1.501, 2.094]","(55.2, 82.8]",0-12
a000746,62.0,144.0,66.0,1,48.0,2019-01-01,0.0,2567.0,417.12,0,144,AMO,459.51,2.4387697007002838,19560.72,78.0,66,459.51,0.02349146657178263,1,19101.210000000003,"(2.256, 2.786]","(55.2, 82.8]",60-120
a000748,42.0,144.0,79.0,1,48.0,2019-01-01,0.0,2966.0,518.93,0,144,AMO,529.44,2.441163165734755,25324.9,65.0,79,529.44,0.02090590683477526,1,24795.460000000003,"(2.256, 2.786]","(55.2, 82.8]",60-120
a000754,47.0,144.0,92.0,1,45.0,2019-01-01,0.0,2706.0,792.98,0,144,AMO,825.25,2.3901414259277676,47657.09,52.0,92,825.25,0.017316416088351178,1,46831.84,"(2.256, 2.786]","(82.8, 110.4]",36-60
a000756,50.0,144.0,93.0,1,45.0,2019-01-01,0.0,3176.0,517.68,0,144,AMO,528.58,2.373959596279331,31263.19,51.0,93,528.58,0.016907423714598545,1,30734.609999999997,"(2.256, 2.786]","(82.8, 110.4]",36-60
a000762,49.0,144.0,99.0,1,46.0,2019-01-01,0.0,3166.0,645.17,0,144,AMO,668.91,2.318885173253443,49430.26,45.0,99,668.91,0.013532398979896118,1,48761.35,"(2.256, 2.786]","(82.8, 110.4]",36-60
a000772,56.0,145.0,106.0,1,55.0,2019-01-01,0.0,1572.0,893.88,0,144,AMO,942.73,2.3178295344281885,61992.23,39.0,106,942.73,0.015207228389751425,1,61049.5,"(2.256, 2.786]","(82.8, 110.4]",36-60
a000784,52.0,108.0,77.0,1,45.0,2019-01-01,0.0,4085.0,619.13,0,108,AMO,632.42,2.2366354272017874,36211.17,31.0,77,632.42,0.017464776752587667,1,35578.75,"(2.181, 2.256]","(55.2, 82.8]",12-36
a000786,47.0,120.0,89.0,1,46.0,2019-01-01,0.0,5164.0,401.25,2,120,AMO,440.34,2.234719604853123,21016.37,31.0,89,440.34,0.020952238659673387,1,20576.03,"(2.181, 2.256]","(82.8, 110.4]",12-36
a000792,48.0,145.0,119.0,1,46.0,2019-01-01,0.0,2668.0,314.14,0,144,AMO,412.84,2.221810338571522,24886.73,26.0,119,412.84,0.016588760355418328,1,24473.89,"(2.181, 2.256]","(110.4, 138.0]",12-36
a000801,47.0,240.0,222.0,1,55.0,2019-01-01,0.0,1422.0,577.98,0,240,AMO,27082.0,2.133468378523674,87925.03,18.0,222,27082.0,0.3080124055686987,1,60843.03,"(2.094, 2.181]","(220.8, 248.4]",12-36
a000813,35.0,144.0,133.0,1,52.0,2019-01-01,0.0,1626.0,423.73,0,144,AMO,1439.74,2.1340740008639365,44461.5,11.0,133,1439.74,0.032381723513601655,1,43021.76,"(2.094, 2.181]","(110.4, 138.0]",0-12
a000814,48.0,121.0,113.0,1,54.0,2019-01-01,0.0,4204.0,757.07,0,120,AMO,0.0,2.1766936096248664,61807.07,8.0,113,0.0,0.0,0,61807.07,"(2.094, 2.181]","(110.4, 138.0]",0-12
a000816,43.0,144.0,138.0,1,56.0,2019-01-01,0.0,2840.0,540.65,0,144,AMO,608.69,2.1766936096248664,56974.16,6.0,138,608.69,0.01068361516870104,1,56365.47,"(2.094, 2.181]","(110.4, 138.0]",0-12
a000817,61.0,145.0,3.0,1,70.0,2019-01-01,0.0,1214.0,337.75,0,9,AMO,0.0,2.140381993139076,0.0,142.0,3,0.0,,0,0.0,"(2.094, 2.181]","(-0.276, 27.6]",120+
a000823,53.0,150.0,61.0,1,60.0,2019-01-01,0.0,2500.0,142.27,0,144,AMO,-6566.63,2.234639646092364,25.91,89.0,61,-6566.63,0.0,0,6592.54,"(2.181, 2.256]","(55.2, 82.8]",60-120
a000878,42.0,61.0,18.0,1,52.0,2019-01-01,0.0,1510.0,112.11,0,60,AMO,293.2199999999998,2.3067223086566804,1644.43,43.0,18,293.2199999999998,0.17831102570495538,1,1351.2100000000003,"(2.256, 2.786]","(-0.276, 27.6]",36-60
a000879,38.0,60.0,18.0,1,47.0,2019-01-01,0.0,2468.0,190.25,0,60,AMO,477.55,2.229650450982495,2884.2,42.0,18,477.55,0.1655745093960197,1,2406.6499999999996,"(2.181, 2.256]","(-0.276, 27.6]",36-60
a000890,60.0,60.0,15.0,1,70.0,2019-01-01,0.0,1230.0,128.69,0,60,AMO,0.0,2.3067223086566804,0.0,45.0,15,0.0,,0,0.0,"(2.256, 2.786]","(-0.276, 27.6]",36-60
a000912,34.0,84.0,39.0,1,46.0,2019-01-01,0.0,3439.0,357.01,1,78,AMO,386.45,2.373553036768137,11994.62,45.0,39,386.45,0.03221861134408593,1,11608.17,"(2.256, 2.786]","(27.6, 55.2]",36-60
a000929,35.0,73.0,31.0,1,47.0,2019-01-01,0.0,1853.0,92.89,0,72,AMO,404.52,2.2593654994071057,2273.4,42.0,31,404.52,0.17793613090525204,1,1868.88,"(2.256, 2.786]","(27.6, 55.2]",36-60
