Age,Facteur_Propre,Facteur_Benchmark,Facteur_Credibilite,Poids_Z
66.0,1.0254207219377873,1.0254207219377873,1.0254207219377873,0.7727272727272727
67.0,1.0277531985295913,1.0277531985295913,1.0277531985295913,0.782608695652174
68.0,1.0281567641412173,1.0281567641412173,1.0281567641412173,0.782608695652174
69.0,1.0343016340929536,1.0343016340929536,1.0343016340929536,0.7916666666666666
70.0,1.033164052885825,1.033164052885825,1.033164052885825,0.782608695652174
71.0,1.0334015193493544,1.0334015193493544,1.0334015193493544,0.782608695652174
72.0,1.0306001710926274,1.0306001710926274,1.0306001710926274,0.7727272727272727
73.0,1.0207202834431672,1.0207202834431672,1.0207202834431672,0.7727272727272727
74.0,1.0236373238693401,1.0236373238693401,1.0236373238693401,0.7727272727272727
75.0,1.020530510385777,1.020530510385777,1.020530510385777,0.7619047619047619
76.0,1.0236758662405394,1.0236758662405394,1.0236758662405394,0.75
77.0,1.019406750003855,1.019406750003855,1.019406750003855,0.7368421052631579
78.0,1.0193354411122348,1.0193354411122348,1.0193354411122348,0.75
79.0,1.019601020270525,1.019601020270525,1.019601020270525,0.75
80.0,1.0243839337477318,1.0243839337477318,1.0243839337477318,0.7368421052631579
81.0,1.028921458248578,1.028921458248578,1.028921458248578,0.7222222222222222
82.0,1.029026161395719,1.029026161395719,1.029026161395719,0.7058823529411765
83.0,1.0284782589997281,1.0284782589997281,1.0284782589997281,0.7368421052631579
84.0,1.02057959564539,1.02057959564539,1.02057959564539,0.6875
85.0,1.012236094492199,1.012236094492199,1.012236094492199,0.6666666666666666
86.0,1.0217248604407245,1.0217248604407245,1.0217248604407245,0.6875
87.0,1.0234772553932554,1.0234772553932554,1.0234772553932554,0.6875
88.0,1.0186551991529738,1.0186551991529738,1.0186551991529738,0.6428571428571429
89.0,1.0118405865411462,1.0118405865411462,1.0118405865411462,0.6875
90.0,1.0168464620937319,1.0168464620937319,1.0168464620937319,0.6428571428571429
91.0,1.0185914802033724,1.0185914802033724,1.0185914802033724,0.5833333333333334
92.0,1.0247697822275064,1.0247697822275064,1.0247697822275064,0.5833333333333334
93.0,1.019767724560131,1.019767724560131,1.019767724560131,0.5
94.0,1.0236545329056688,1.0236545329056688,1.0236545329056688,0.6153846153846154
95.0,1.0257841341614167,1.0257841341614167,1.0257841341614167,0.6428571428571429
96.0,1.0184532972227256,1.0184532972227256,1.0184532972227256,0.5454545454545454
97.0,1.0111878185669823,1.0111878185669823,1.0111878185669823,0.5833333333333334
98.0,1.0222437130576398,1.0222437130576398,1.0222437130576398,0.6153846153846154
99.0,1.0151519536081743,1.0151519536081743,1.0151519536081743,0.5833333333333334
100.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.5
101.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.4444444444444444
102.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.4444444444444444
103.0,1.0170978185806725,1.0170978185806725,1.0170978185806725,0.4444444444444444
104.0,1.0157238921660083,1.0157238921660083,1.0157238921660083,0.5454545454545454
105.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.4444444444444444
106.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.4444444444444444
107.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.0
108.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.375
109.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.16666666666666666
110.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.2857142857142857
111.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.375
112.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.16666666666666666
113.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.2857142857142857
114.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.16666666666666666
115.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.2857142857142857
116.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.0
117.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.2857142857142857
118.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.0
119.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.0
120.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.16666666666666666
121.0,1.0162810391958952,1.0162810391958952,1.0162810391958952,0.0
